food_name,category,serving_weight_g,cooking_method,protein_g,carbs_g,fat_g,fiber_g,sugar_g,water_pct,calories
Apple,Fruits,30.0,raw,0.09,4.16,0.06,0.72,3.12,85.9,16.1
Apple,Fruits,30.0,boiled,0.09,4.14,0.06,0.72,3.12,98.3,15.9
Apple,Fruits,30.0,steamed,0.09,4.16,0.06,0.72,3.12,90.3,16.1
Apple,Fruits,30.0,grilled,0.09,4.19,0.06,0.72,3.12,73.6,16.3
Apple,Fruits,30.0,baked,0.09,4.13,0.06,0.72,3.12,75.2,16.0
Apple,Fruits,30.0,fried,0.09,4.13,0.11,0.72,3.12,59.8,16.9
Apple,Fruits,30.0,deep_fried,0.09,4.19,0.14,0.72,3.12,52.0,17.8
Apple,Fruits,50.0,raw,0.15,6.94,0.1,1.2,5.2,86.1,26.9
Apple,Fruits,50.0,boiled,0.15,6.88,0.1,1.2,5.2,98.1,26.4
Apple,Fruits,50.0,steamed,0.15,6.93,0.1,1.2,5.2,90.2,26.8
Apple,Fruits,50.0,grilled,0.15,6.88,0.09,1.2,5.2,72.5,26.6
Apple,Fruits,50.0,baked,0.15,6.88,0.09,1.2,5.2,75.1,26.5
Apple,Fruits,50.0,fried,0.15,6.91,0.19,1.2,5.2,60.0,28.4
Apple,Fruits,50.0,deep_fried,0.15,6.8,0.22,1.2,5.2,50.6,28.6
Apple,Fruits,75.0,raw,0.22,10.22,0.15,1.8,7.8,84.5,39.3
Apple,Fruits,75.0,boiled,0.22,10.31,0.15,1.8,7.8,98.0,39.6
Apple,Fruits,75.0,steamed,0.22,10.27,0.15,1.8,7.8,89.2,39.5
Apple,Fruits,75.0,grilled,0.23,10.37,0.14,1.8,7.8,72.9,40.2
Apple,Fruits,75.0,baked,0.22,10.28,0.14,1.8,7.8,74.8,39.6
Apple,Fruits,75.0,fried,0.22,10.24,0.27,1.8,7.8,59.3,41.8
Apple,Fruits,75.0,deep_fried,0.23,10.46,0.35,1.8,7.8,51.9,44.4
Apple,Fruits,100.0,raw,0.3,13.78,0.2,2.4,10.4,85.5,53.2
Apple,Fruits,100.0,boiled,0.3,13.81,0.2,2.4,10.4,98.5,53.1
Apple,Fruits,100.0,steamed,0.3,13.65,0.19,2.4,10.4,88.9,52.3
Apple,Fruits,100.0,grilled,0.3,13.74,0.18,2.4,10.4,72.5,53.0
Apple,Fruits,100.0,baked,0.3,13.81,0.19,2.4,10.4,75.4,53.4
Apple,Fruits,100.0,fried,0.3,13.68,0.36,2.4,10.4,59.4,55.8
Apple,Fruits,100.0,deep_fried,0.3,13.84,0.46,2.4,10.4,51.5,58.6
Apple,Fruits,150.0,raw,0.45,20.61,0.3,3.6,15.6,85.2,79.5
Apple,Fruits,150.0,boiled,0.45,20.65,0.29,3.6,15.6,98.2,79.3
Apple,Fruits,150.0,steamed,0.45,20.61,0.29,3.6,15.6,89.5,79.2
Apple,Fruits,150.0,grilled,0.46,20.99,0.28,3.6,15.6,73.8,81.6
Apple,Fruits,150.0,baked,0.45,20.7,0.28,3.6,15.6,75.3,80.0
Apple,Fruits,150.0,fried,0.45,20.54,0.55,3.6,15.6,59.4,84.0
Apple,Fruits,150.0,deep_fried,0.45,20.83,0.7,3.6,15.6,51.7,88.3
Apple,Fruits,200.0,raw,0.59,27.35,0.39,4.8,20.8,84.8,105.1
Apple,Fruits,200.0,boiled,0.6,27.64,0.39,4.8,20.8,98.6,106.3
Apple,Fruits,200.0,steamed,0.59,27.19,0.38,4.8,20.8,88.6,104.1
Apple,Fruits,200.0,grilled,0.59,27.33,0.36,4.8,20.8,72.0,105.2
Apple,Fruits,200.0,baked,0.6,27.64,0.38,4.8,20.8,75.4,106.9
Apple,Fruits,200.0,fried,0.6,27.75,0.75,4.8,20.8,60.3,114.0
Apple,Fruits,200.0,deep_fried,0.6,27.64,0.92,4.8,20.8,51.4,116.9
Apple,Fruits,250.0,raw,0.75,34.47,0.5,6.0,26.0,85.5,133.1
Apple,Fruits,250.0,boiled,0.75,34.42,0.49,6.0,26.0,98.2,132.2
Apple,Fruits,250.0,steamed,0.74,34.12,0.48,6.0,26.0,88.9,130.8
